ticker,as_of,window,trend_score,signal,id
252670,2026-02-26 11:22:42,1D,44.9,HOLD,252670
001510,2026-02-26 11:22:42,1D,60.16,BUY,001510
114800,2026-02-26 11:22:42,1D,42.46,HOLD,114800
003530,2026-02-26 11:22:42,1D,48.15,HOLD,003530
007460,2026-02-26 11:22:42,1D,29.01,SELL,007460
462330,2026-02-26 11:22:42,1D,29.16,SELL,462330
092220,2026-02-26 11:22:42,1D,30.75,SELL,092220
047040,2026-02-26 11:22:42,1D,67.93,BUY,047040
018880,2026-02-26 11:22:42,1D,30.57,SELL,018880
233740,2026-02-26 11:22:42,1D,61.19,BUY,233740
530036,2026-02-26 11:22:42,1D,44.0,HOLD,530036
001290,2026-02-26 11:22:42,1D,63.96,BUY,001290
251340,2026-02-26 11:22:42,1D,43.38,HOLD,251340
252710,2026-02-26 11:22:42,1D,25.55,SELL,252710
229200,2026-02-26 11:22:42,1D,60.61,BUY,229200
001200,2026-02-26 11:22:42,1D,48.07,HOLD,001200
004060,2026-02-26 11:22:42,1D,59.91,HOLD,004060
396500,2026-02-26 11:22:42,1D,31.3,SELL,396500
088350,2026-02-26 11:22:42,1D,26.71,SELL,088350
015260,2026-02-26 11:22:42,1D,60.47,BUY,015260
005930,2026-02-26 11:22:42,1D,47.52,HOLD,005930
004410,2026-02-26 11:22:42,1D,56.02,HOLD,004410
122630,2026-02-26 11:22:42,1D,31.24,SELL,122630
003460,2026-02-26 11:22:42,1D,38.26,SELL,003460
011930,2026-02-26 11:22:42,1D,28.64,SELL,011930
069500,2026-02-26 11:22:42,1D,45.69,HOLD,069500
0148J0,2026-02-26 11:22:42,1D,44.93,HOLD,0148J0
006340,2026-02-26 11:22:42,1D,44.43,HOLD,006340
009310,2026-02-26 11:22:42,1D,45.75,HOLD,009310
152550,2026-02-26 11:22:42,1D,30.63,SELL,152550
452260,2026-02-26 11:22:42,1D,25.88,SELL,452260
001440,2026-02-26 11:22:42,1D,47.83,HOLD,001440
379800,2026-02-26 11:22:42,1D,43.95,HOLD,379800
0162Z0,2026-02-26 11:22:42,1D,41.32,HOLD,0162Z0
034220,2026-02-26 11:22:42,1D,62.97,BUY,034220
498400,2026-02-26 11:22:42,1D,45.53,HOLD,498400
144600,2026-02-26 11:22:42,1D,59.27,HOLD,144600
412570,2026-02-26 11:22:42,1D,44.65,HOLD,412570
530107,2026-02-26 11:22:42,1D,26.93,SELL,530107
035720,2026-02-26 11:22:42,1D,33.11,SELL,035720
360750,2026-02-26 11:22:42,1D,27.95,SELL,360750
102970,2026-02-26 11:22:42,1D,43.69,HOLD,102970
305720,2026-02-26 11:22:42,1D,44.79,HOLD,305720
0117V0,2026-02-26 11:22:42,1D,46.71,HOLD,0117V0
462010,2026-02-26 11:22:42,1D,60.66,BUY,462010
395160,2026-02-26 11:22:42,1D,30.81,SELL,395160
487240,2026-02-26 11:22:42,1D,30.78,SELL,487240
012200,2026-02-26 11:22:42,1D,44.04,HOLD,012200
329200,2026-02-26 11:22:42,1D,28.22,SELL,329200
0091P0,2026-02-26 11:22:42,1D,45.1,HOLD,0091P0
232080,2026-02-26 11:22:42,1D,44.6,HOLD,232080
000400,2026-02-26 11:22:42,1D,23.95,SELL,000400
003470,2026-02-26 11:22:42,1D,46.42,HOLD,003470
530062,2026-02-26 11:22:42,1D,46.09,HOLD,530062
448330,2026-02-26 11:22:42,1D,29.04,SELL,448330
228790,2026-02-26 11:22:42,1D,45.08,HOLD,228790
069460,2026-02-26 11:22:42,1D,39.19,SELL,069460
488080,2026-02-26 11:22:42,1D,50.71,HOLD,488080
001500,2026-02-26 11:22:42,1D,45.91,HOLD,001500
455850,2026-02-26 11:22:42,1D,47.71,HOLD,455850
005935,2026-02-26 11:22:42,1D,46.72,HOLD,005935
292150,2026-02-26 11:22:42,1D,29.66,SELL,292150
495050,2026-02-26 11:22:42,1D,45.42,HOLD,495050
003280,2026-02-26 11:22:42,1D,58.05,HOLD,003280
118000,2026-02-26 11:22:42,1D,29.34,SELL,118000
066570,2026-02-26 11:22:42,1D,51.2,HOLD,066570
445290,2026-02-26 11:22:42,1D,61.77,BUY,445290
395270,2026-02-26 11:22:42,1D,46.59,HOLD,395270
469070,2026-02-26 11:22:42,1D,44.45,HOLD,469070
494310,2026-02-26 11:22:42,1D,49.71,HOLD,494310
091160,2026-02-26 11:22:42,1D,46.93,HOLD,091160
520055,2026-02-26 11:22:42,1D,40.69,HOLD,520055
034830,2026-02-26 11:22:42,1D,42.55,HOLD,034830
006800,2026-02-26 11:22:42,1D,43.27,HOLD,006800
379810,2026-02-26 11:22:42,1D,28.21,SELL,379810
157500,2026-02-26 11:22:42,1D,27.51,SELL,157500
123310,2026-02-26 11:22:42,1D,26.33,SELL,123310
472150,2026-02-26 11:22:42,1D,29.0,SELL,472150
005880,2026-02-26 11:22:42,1D,58.37,HOLD,005880
003060,2026-02-26 11:22:42,1D,44.93,HOLD,003060
364980,2026-02-26 11:22:42,1D,44.31,HOLD,364980
530105,2026-02-26 11:22:42,1D,40.61,HOLD,530105
102110,2026-02-26 11:22:42,1D,45.7,HOLD,102110
006740,2026-02-26 11:22:42,1D,49.98,HOLD,006740
042700,2026-02-26 11:22:42,1D,68.7,BUY,042700
377300,2026-02-26 11:22:42,1D,34.87,SELL,377300
003490,2026-02-26 11:22:42,1D,58.5,HOLD,003490
000660,2026-02-26 11:22:42,1D,45.51,HOLD,000660
012030,2026-02-26 11:22:42,1D,45.79,HOLD,012030
010140,2026-02-26 11:22:42,1D,43.19,HOLD,010140
0005D0,2026-02-26 11:22:42,1D,29.33,SELL,0005D0
475720,2026-02-26 11:22:42,1D,28.25,SELL,475720
003620,2026-02-26 11:22:42,1D,59.22,HOLD,003620
034020,2026-02-26 11:22:42,1D,60.26,BUY,034020
0098F0,2026-02-26 11:22:42,1D,44.77,HOLD,0098F0
000370,2026-02-26 11:22:42,1D,43.91,HOLD,000370
411060,2026-02-26 11:22:42,1D,43.36,HOLD,411060
348950,2026-02-26 11:22:42,1D,25.12,SELL,348950
011200,2026-02-26 11:22:42,1D,56.87,HOLD,011200
009290,2026-02-26 11:22:42,1D,60.63,BUY,009290
012860,2026-02-26 11:22:42,1D,63.73,BUY,012860
049630,2026-02-26 11:22:42,1D,50.52,HOLD,049630
053950,2026-02-26 11:22:42,1D,40.03,HOLD,053950
038880,2026-02-26 11:22:42,1D,44.79,HOLD,038880
900300,2026-02-26 11:22:42,1D,30.44,SELL,900300
187660,2026-02-26 11:22:42,1D,56.25,HOLD,187660
242040,2026-02-26 11:22:42,1D,60.33,BUY,242040
229000,2026-02-26 11:22:42,1D,55.28,HOLD,229000
308080,2026-02-26 11:22:42,1D,35.45,SELL,308080
054220,2026-02-26 11:22:42,1D,32.03,SELL,054220
377030,2026-02-26 11:22:42,1D,65.49,BUY,377030
092040,2026-02-26 11:22:42,1D,37.37,SELL,092040
036540,2026-02-26 11:22:42,1D,31.91,SELL,036540
046890,2026-02-26 11:22:42,1D,33.66,SELL,046890
064260,2026-02-26 11:22:42,1D,47.16,HOLD,064260
076610,2026-02-26 11:22:42,1D,30.61,SELL,076610
125020,2026-02-26 11:22:42,1D,53.67,HOLD,125020
010170,2026-02-26 11:22:42,1D,29.05,SELL,010170
225190,2026-02-26 11:22:42,1D,35.89,SELL,225190
032820,2026-02-26 11:22:42,1D,41.83,HOLD,032820
080220,2026-02-26 11:22:42,1D,32.37,SELL,080220
048410,2026-02-26 11:22:42,1D,23.63,SELL,048410
038530,2026-02-26 11:22:42,1D,45.92,HOLD,038530
115480,2026-02-26 11:22:42,1D,56.43,HOLD,115480
307180,2026-02-26 11:22:42,1D,74.81,BUY,307180
008290,2026-02-26 11:22:42,1D,36.51,SELL,008290
065170,2026-02-26 11:22:42,1D,41.81,HOLD,065170
234340,2026-02-26 11:22:42,1D,54.78,HOLD,234340
221800,2026-02-26 11:22:42,1D,56.33,HOLD,221800
090710,2026-02-26 11:22:42,1D,42.43,HOLD,090710
317240,2026-02-26 11:22:42,1D,56.96,HOLD,317240
101330,2026-02-26 11:22:42,1D,39.61,SELL,101330
115530,2026-02-26 11:22:42,1D,26.77,SELL,115530
006910,2026-02-26 11:22:42,1D,42.66,HOLD,006910
255220,2026-02-26 11:22:42,1D,48.48,HOLD,255220
024060,2026-02-26 11:22:42,1D,56.37,HOLD,024060
288330,2026-02-26 11:22:42,1D,48.19,HOLD,288330
019550,2026-02-26 11:22:42,1D,36.83,SELL,019550
380540,2026-02-26 11:22:42,1D,48.88,HOLD,380540
033340,2026-02-26 11:22:42,1D,45.57,HOLD,033340
123040,2026-02-26 11:22:42,1D,24.1,SELL,123040
038060,2026-02-26 11:22:42,1D,24.62,SELL,038060
227950,2026-02-26 11:22:42,1D,53.87,HOLD,227950
403870,2026-02-26 11:22:42,1D,47.41,HOLD,403870
083640,2026-02-26 11:22:42,1D,40.65,HOLD,083640
078860,2026-02-26 11:22:42,1D,49.56,HOLD,078860
017510,2026-02-26 11:22:42,1D,45.65,HOLD,017510
049470,2026-02-26 11:22:42,1D,35.08,SELL,049470
092190,2026-02-26 11:22:42,1D,17.79,SELL,092190
060250,2026-02-26 11:22:42,1D,31.49,SELL,060250
270520,2026-02-26 11:22:42,1D,44.61,HOLD,270520
060900,2026-02-26 11:22:42,1D,48.47,HOLD,060900
008830,2026-02-26 11:22:42,1D,49.39,HOLD,008830
078020,2026-02-26 11:22:42,1D,44.98,HOLD,078020
056090,2026-02-26 11:22:42,1D,46.18,HOLD,056090
048530,2026-02-26 11:22:42,1D,80.0,BUY,048530
204610,2026-02-26 11:22:42,1D,66.88,BUY,204610
060720,2026-02-26 11:22:42,1D,45.32,HOLD,060720
049080,2026-02-26 11:22:42,1D,55.48,HOLD,049080
016600,2026-02-26 11:22:42,1D,40.43,HOLD,016600
357880,2026-02-26 11:22:42,1D,29.37,SELL,357880
023440,2026-02-26 11:22:42,1D,22.31,SELL,023440
013720,2026-02-26 11:22:42,1D,59.55,HOLD,013720
039860,2026-02-26 11:22:42,1D,40.78,HOLD,039860
440320,2026-02-26 11:22:42,1D,58.93,HOLD,440320
067390,2026-02-26 11:22:42,1D,26.13,SELL,067390
018000,2026-02-26 11:22:42,1D,61.13,BUY,018000
222080,2026-02-26 11:22:42,1D,26.38,SELL,222080
330350,2026-02-26 11:22:42,1D,38.36,SELL,330350
069540,2026-02-26 11:22:42,1D,30.02,SELL,069540
024840,2026-02-26 11:22:42,1D,42.79,HOLD,024840
178320,2026-02-26 11:22:42,1D,32.07,SELL,178320
246690,2026-02-26 11:22:42,1D,49.03,HOLD,246690
339950,2026-02-26 11:22:42,1D,46.19,HOLD,339950
047770,2026-02-26 11:22:42,1D,41.51,HOLD,047770
086520,2026-02-26 11:22:42,1D,61.41,BUY,086520
340930,2026-02-26 11:22:42,1D,46.56,HOLD,340930
025980,2026-02-26 11:22:42,1D,40.13,HOLD,025980
046120,2026-02-26 11:22:42,1D,56.55,HOLD,046120
032680,2026-02-26 11:22:42,1D,33.77,SELL,032680
319400,2026-02-26 11:22:42,1D,41.65,HOLD,319400
072470,2026-02-26 11:22:42,1D,39.14,SELL,072470
241520,2026-02-26 11:22:42,1D,47.88,HOLD,241520
038500,2026-02-26 11:22:42,1D,57.81,HOLD,038500
462860,2026-02-26 11:22:42,1D,36.21,SELL,462860
476060,2026-02-26 11:22:42,1D,51.76,HOLD,476060
003380,2026-02-26 11:22:42,1D,56.41,HOLD,003380
273060,2026-02-26 11:22:42,1D,36.11,SELL,273060
321370,2026-02-26 11:22:42,1D,35.41,SELL,321370
302550,2026-02-26 11:22:42,1D,38.22,SELL,302550
417200,2026-02-26 11:22:42,1D,58.48,HOLD,417200
045390,2026-02-26 11:22:42,1D,56.01,HOLD,045390
253590,2026-02-26 11:22:42,1D,59.03,HOLD,253590
019570,2026-02-26 11:22:42,1D,46.75,HOLD,019570
089150,2026-02-26 11:22:42,1D,36.18,SELL,089150
267320,2026-02-26 11:22:42,1D,42.71,HOLD,267320
088130,2026-02-26 11:22:42,1D,45.22,HOLD,088130
238120,2026-02-26 11:22:42,1D,25.63,SELL,238120
050090,2026-02-26 11:22:42,1D,56.3,HOLD,050090
313760,2026-02-26 11:22:42,1D,45.01,HOLD,313760
